output_prefix	name	motif_id	cluster	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue	K4me1_K4me2_highlighted
RFX5_MA0510.3	RFX5	MA0510.3	C_RFX1	132	1.86299	11	0.61293	5	-0.0952	4.50661E-19	False
RFX7_MA1554.2	RFX7	MA1554.2	C_RFX7	62	1.40929	0	0.40693	1	-0.08943	3.98615E-08	False
RHOXF1_MA0719.2	RHOXF1	MA0719.2	C_RHOXF1	263	1.86849	21	0.41521	6	0.02644	4.06896E-03	False
RORA_MA0072.2	RORA	MA0072.2	C_RORA	102	1.70012	4	0.17573	1	0.24787	3.91053E-40	False
RORB_MA1150.2	RORB	MA1150.2	C_RORB	152	2.02481	9	0.13509	1	0.36699	6.31226E-63	False
RORC_MA1151.2	RORC	MA1151.2	C_RORB	131	2.05132	11	0.18737	1	0.31814	2.30104E-53	False
RREB1_MA0073.2	RREB1	MA0073.2	C_RREB1	959	2.05229	88	0.18864	5	0.30091	1.52984E-94	True
RUNX3_MA0684.3	RUNX3	MA0684.3	C_RUNX3	151	1.84167	11	0.29128	3	0.1456	1.17157E-26	False
SATB1_MA1963.2	SATB1	MA1963.2	C_SATB1	64	1.51477	4	0.32843	1	-0.0349	1.49934E-01	False
SCRT1_MA0743.3	SCRT1	MA0743.3	C_SCRT1	161	1.74186	9	0.21687	1	0.18156	5.96186E-28	False
SCRT2_MA0744.3	SCRT2	MA0744.3	C_SCRT1	140	1.68946	8	0.24073	2	0.16785	1.36670E-31	False
SHOX_MA0630.2	SHOX	MA0630.2	C_TLX2	364	1.76686	15	0.18281	2	0.20386	1.00080E-60	False
SIX1_MA1118.2	SIX1	MA1118.2	C_SIX1	114	1.76347	7	0.3172	1	0.08042	1.15338E-12	False
SIX2_MA1119.2	SIX2	MA1119.2	C_SIX2	145	1.89998	11	0.33614	4	0.17409	3.26118E-39	False
SMAD2_MA1964.2	SMAD2	MA1964.2	C_SMAD2	342	1.88889	33	0.4239	6	0.01546	5.29322E-03	False
SNAI1_MA1558.2	SNAI1	MA1558.2	C_TCF3	100	1.83373	7	0.40191	2	0.01473	4.16739E-02	False
SNAI2_MA0745.3	SNAI2	MA0745.3	C_TCF3	170	1.67788	10	0.37445	2	-0.03911	4.11026E-05	False
SNAI3_MA1559.2	SNAI3	MA1559.2	C_TCF3	156	1.57541	9	0.56202	3	-0.15018	6.05759E-32	False
SOHLH2_MA1560.2	SOHLH2	MA1560.2	C_Mlxip	38	1.35407	3	0.73225	1	-0.42877	6.98034E-39	True
SOX10_MA0442.3	SOX10	MA0442.3	C_SOX4	993	1.95777	74	0.16064	6	0.35259	1.46052E-100	True
