MA1938.2 ERF::NHLH1	Cluster_160
MA1542.2 OSR1	Cluster_161
MA1646.2 OSR2	Cluster_161
MA1628.2 Zic1::Zic2	Cluster_162
MA0697.3 Zic3	Cluster_162
MA1629.2 Zic2	Cluster_163
MA1593.2 ZNF317	Cluster_164
MA1585.2 ZKSCAN1	Cluster_165
MA1717.2 ZNF784	Cluster_166
MA2327.1 PGR	Cluster_167
MA0743.3 SCRT1	Cluster_168
MA0744.3 SCRT2	Cluster_168
MA1934.2 ERF::FIGLA	Cluster_169
MA1941.2 ETV2::FIGLA	Cluster_169
MA1945.2 ETV5::FIGLA	Cluster_169
MA1966.2 TFAP4::ETV1	Cluster_169
MA1967.2 TFAP4::FLI1	Cluster_169
MA2323.1 Pgr	Cluster_17
MA0669.1 NEUROG2	Cluster_170
MA0678.1 OLIG2	Cluster_170
MA0826.1 OLIG1	Cluster_170
MA0827.1 OLIG3	Cluster_170
MA1468.1 ATOH7	Cluster_170
MA1570.1 TFAP4	Cluster_170
MA0623.2 NEUROG1	Cluster_170
MA0607.2 BHLHA15	Cluster_170
MA0818.2 BHLHE22	Cluster_170
MA0817.2 BHLHE23	Cluster_170
MA1568.2 TCF21	Cluster_170
MA0091.2 TAL1::TCF3	Cluster_171
MA0461.3 Atoh1	Cluster_172
MA1524.3 Msgn1	Cluster_173
MA1638.2 HAND2	Cluster_174
MA1109.2 NEUROD1	Cluster_174
MA1642.2 NEUROG2	Cluster_174
MA1467.3 Atoh1	Cluster_174
MA0668.3 Neurod2	Cluster_174
MA1123.3 TWIST1	Cluster_175
MA1618.2 Ptf1A	Cluster_176
MA0698.2 ZBTB18	Cluster_177
MA0820.2 FIGLA	Cluster_178
MA0522.4 TCF3	Cluster_178
MA1558.2 SNAI1	Cluster_178
MA1648.2 TCF12	Cluster_178
MA0103.4 ZEB1	Cluster_178
MA1631.2 ASCL1	Cluster_179
MA0830.3 TCF4	Cluster_179
MA0088.2 ZNF143	Cluster_18
MA1716.2 ZNF76	Cluster_18
MA0499.3 MYOD1	Cluster_180
MA0745.3 SNAI2	Cluster_180
MA1559.2 SNAI3	Cluster_180
MA1100.3 ASCL1	Cluster_181
MA0048.3 NHLH1	Cluster_181
MA0500.3 MYOG	Cluster_181
MA1635.2 BHLHE22	Cluster_182
