name	motif_id	total_tfbs	K4me1_mean_score	K4me1_bound	K4me2_mean_score	K4me2_bound	K4me1_K4me2_change	K4me1_K4me2_pvalue
ERF::FOXI1	MA1935.2	191	1.45909	8	0.50809	5	-0.11783	2.21513e-30
ONECUT2	MA0756.3	57	1.59073	2	0.79612	2	-0.29227	3.53932e-30
Foxn1	MA1684.1	134	1.98479	14	0.86246	5	-0.16025	8.51715e-30
EGR4	MA0733.2	232	2.08757	25	0.46491	8	0.10063	2.29753e-29
ZNF416	MA1979.2	137	1.75494	8	0.30044	3	0.1555	2.70989e-29
DMRTC2	MA1479.2	91	1.80794	5	0.34237	2	0.20752	2.80913e-29
TEAD2	MA1121.2	103	1.76096	4	0.22499	1	0.19697	4.329e-29
ZNF320	MA1976.2	359	1.90899	29	0.3164	3	0.10013	4.64237e-29
MYOG	MA0500.3	227	1.90763	15	0.32214	2	0.12808	5.38739e-29
ZNF213	MA2121.1	171	2.0216	16	0.39512	4	0.12024	6.17287e-29
HINFP	MA0131.3	51	1.53139	4	0.86743	3	-0.26837	9.76298e-29
Arid3b	MA0601.2	54	1.89338	2	0.26808	1	0.24668	2.05508e-28
PRDM1	MA0508.4	225	1.50382	11	0.20359	0	0.12452	2.4702e-28
Zic2	MA1629.2	478	1.71448	33	0.31399	5	0.07472	3.79339e-28
BHLHE22	MA1635.2	441	1.85584	33	0.34201	4	0.07739	8.34716e-28
RARA::RXRG	MA1149.2	188	2.21314	19	0.38552	4	0.14181	1.78982e-27
ZKSCAN5	MA1652.2	365	1.80228	29	0.33444	6	0.09922	2.83e-27
ERF::NHLH1	MA1938.2	149	1.63854	9	0.48182	3	-0.13367	3.45739e-27
GRHL2	MA1105.3	159	1.83806	11	0.33473	3	0.13891	5.27493e-27
ZBED1	MA0749.2	26	1.10947	1	0.41267	0	-0.37071	8.64352e-27
RUNX3	MA0684.3	151	1.84167	11	0.29128	3	0.1456	1.17157e-26
Stat6	MA0520.2	124	1.59325	5	0.2103	1	0.13418	1.40925e-26
ONECUT1	MA0679.3	151	1.76844	7	0.24912	3	0.17441	1.4657e-26
ZNF524	MA2096.1	90	1.48684	6	0.53204	1	-0.19679	2.54373e-26
ZNF140	MA1589.2	158	1.95719	13	0.32455	4	0.14748	3.12542e-26
Atoh1	MA0461.3	94	1.34772	3	0.46305	2	-0.20278	3.57064e-26
ZBTB17	MA2102.1	7	2.1021	1	0	0	1.13415	6.54397e-26
KLF5	MA0599.1	616	2.06365	51	0.43106	14	0.06538	7.77164e-26
ZNF692	MA1986.2	132	2.00213	9	0.2993	1	0.14487	1.32322e-25
ZNF652	MA1657.2	126	1.66578	7	0.2961	2	0.12851	1.65133e-25
Spi1	MA0080.7	434	1.66377	34	0.33496	7	0.08911	1.67322e-25
TGIF1	MA0796.1	203	1.98563	17	0.31654	2	0.12013	2.58475e-25
OVOL2	MA1545.2	32	1.9415	3	0.8216	1	-0.28279	3.68651e-25
HMBOX1	MA0895.2	54	1.74813	5	0.16476	0	0.24187	3.80095e-25
ZBTB6	MA1581.2	163	1.7869	8	0.34383	4	0.12868	7.58595e-25
ZNF135	MA1587.1	185	2.00417	16	0.34726	2	0.10543	1.04611e-24
NFIC	MA1527.2	100	1.70983	8	0.61907	2	-0.16082	1.36185e-24
ZNF528	MA1597.1	126	1.80602	9	0.27803	2	0.15096	3.0761e-24
Ikzf3	MA1992.2	294	1.78814	24	0.59464	10	-0.08243	5.38197e-24
BCL11A	MA2324.1	157	1.78204	9	0.27439	1	0.10979	6.23279e-24
THAP1	MA0597.3	170	1.72371	9	0.25562	2	0.12261	6.62382e-24
Gata3	MA0037.5	115	1.67124	3	0.28834	1	0.12559	6.97575e-24
PGR	MA2327.1	133	1.82437	8	0.25369	1	0.14746	1.82836e-23
Atoh1	MA1467.3	195	1.60261	8	0.4676	4	-0.10837	1.28431e-22
Znf423	MA0116.1	84	1.64195	8	0.28271	1	0.1527	3.81585e-22
Hmga1	MA2124.1	82	1.12052	2	0.45049	1	-0.22013	5.12153e-22
NFKB1	MA0105.4	68	1.85264	2	0.27268	1	0.16879	1.0072e-21
ZBTB7B	MA0694.2	150	1.92117	15	0.36252	5	0.13428	1.37528e-21
FOXP2	MA0593.2	332	1.67311	22	0.30033	4	0.08268	1.45465e-21
ZNF549	MA1728.2	215	2.13609	22	0.36901	2	0.10709	1.68259e-21
Stat2	MA1623.2	274	1.37296	11	0.22423	1	0.08041	6.94564e-21
THRA	MA1969.2	210	1.83572	17	0.34961	2	0.09387	1.41337e-20
GCM1	MA0646.2	69	1.5026	3	0.36672	0	-0.13337	3.05192e-20
Nfatc2	MA0152.3	184	1.72065	9	0.31711	2	0.10097	3.46514e-20
Tfcp2l1	MA0145.2	136	1.73191	12	0.22579	0	0.11744	1.13199e-19
STAT1::STAT2	MA0517.2	223	1.43602	14	0.26744	3	0.11068	1.31316e-19
ZNF768	MA1731.2	460	1.69052	28	0.32279	3	0.05882	2.75224e-19
HOXA9	MA0594.3	16	1.73692	0	0.11208	0	0.35687	4.28438e-19
RFX5	MA0510.3	132	1.86299	11	0.61293	5	-0.0952	4.50661e-19
ZNF770	MA2099.1	226	1.58544	11	0.42472	3	-0.08462	4.71345e-19
MSC	MA0665.1	254	1.73172	14	0.30703	1	0.07835	4.75451e-19
ZNF707	MA1715.1	184	1.88707	14	0.3746	3	0.08222	9.63488e-19
TWIST1	MA1123.3	195	1.65171	9	0.43842	3	-0.09111	1.25328e-18
ZNF354A	MA1978.2	181	1.57367	4	0.24588	0	0.10282	1.4037e-18
ETV2::HOXB13	MA1943.2	72	1.37902	3	0.40614	0	-0.18975	2.28232e-18
RFX4	MA0799.3	56	1.413	1	0.49422	3	-0.13467	4.93833e-18
EBF3	MA1637.2	114	1.82253	11	0.35105	2	0.09096	2.61929e-17
TP63	MA0525.2	68	1.71636	7	0.20678	0	0.18603	6.74516e-17
CEBPG	MA1636.2	166	1.72172	7	0.27556	1	0.09506	7.5184e-17
SMAD5	MA1557.1	39	1.89787	3	0.29318	0	0.19108	8.20391e-17
Prdm4	MA1647.3	137	1.49973	4	0.21894	0	0.08495	9.40066e-17
MYBL2	MA0777.1	54	1.81318	3	0.29515	1	0.16903	1.28656e-16
OSR1	MA1542.2	147	2.00982	13	0.34827	1	0.09264	1.34558e-16
Six4	MA2001.2	78	1.86454	6	0.25165	0	0.16882	1.36642e-16
EPAS1	MA2325.1	56	1.65362	5	0.53777	2	-0.13018	2.09589e-16
