Gene_ID	RPM_R1_TP1	RPM_R1_TP2	RPM_R1_TP3	RPM_R1_TP4	RPM_R1_TP5	RPM_R1_TP6	RPM_R1_TP7	RPM_R1_TP8	RPM_R1_TP9	RPM_R2_TP1	RPM_R2_TP2	RPM_R2_TP3	RPM_R2_TP4	RPM_R2_TP5	RPM_R2_TP6	RPM_R2_TP7	RPM_R2_TP8	RPM_R2_TP9	classification	sub_classification
slc12a9	59.7381641	38.918402	48.9599776	64.8002259	40.2660658	42.4366103	33.740268	36.2160755	30.6933706	56.4230329	46.1577518	62.8234913	43.7431618	53.8212941	56.3987934	30.6814455	38.2246863	46.3344793	MZ	MZ_decreasing
slc25a19	7.02801931	20.5711553	24.6036251	18.6857794	20.1330329	2.49627119	4.68614834	9.48516262	1.47919858	16.9483635	7.46669515	7.94605424	18.9013662	3.2078917	22.272135	20.454297	11.1488668	5.7518664	MZ	MZ_decreasing
slc25a25a	686.637486	1036.89742	1043.36679	894.003116	1025.93993	440.591866	413.630693	629.469883	178.983029	848.383587	519.953498	654.059589	1044.43549	592.390667	1006.19758	822.403803	477.012231	313.476719	MZ	MZ_decreasing
slc25a28	157.427632	157.897517	168.887195	126.171868	166.132719	121.693221	168.07652	195.164407	84.684119	137.73227	305.003184	110.251503	213.315418	146.850153	199.730759	186.557295	135.379097	121.108743	MZ	MZ_decreasing
slc25a36b	74.4970047	80.6166899	108.552678	111.086102	107.423106	56.7901697	50.922812	35.0663588	38.0893636	98.3648691	85.075072	89.3931102	75.6054648	87.6823731	63.942581	55.0150057	70.8749392	57.1991159	MZ	MZ_decreasing
slc25a37	12.6504348	18.9032238	14.7127205	15.257196	9.71454034	4.36847459	7.18542745	9.19773345	2.21879788	18.0210447	15.1596538	8.19436843	10.8007807	5.34648616	15.2671893	14.8117323	11.9452145	7.98870333	MZ	MZ_decreasing
slc25a38b	108.231497	130.098658	107.439951	107.486089	113.054723	72.3918647	63.4192075	51.1623923	12.573188	112.846066	196.396709	110.748131	126.369134	101.93967	111.899517	109.677351	62.5132891	38.345776	MZ	MZ_decreasing
slc25a39	25.3008695	91.7362333	86.174506	72.000251	60.3990987	12.481356	10.9343461	20.9823294	9.24499116	70.475157	14.7071268	39.9785854	88.0263625	23.5245391	78.3117003	42.3192352	21.1032122	23.3270137	MZ	MZ_decreasing
slc25a40	29.5176811	53.9297856	41.6654355	32.0572546	35.6199813	13.7294916	13.7460351	21.8446169	3.69799646	35.3984807	43.6688534	27.8111898	43.7431618	23.5245391	37.0004823	29.2708043	19.510517	11.8232809	MZ	MZ_decreasing
slc25a42	318.369275	231.286503	247.643523	289.715296	348.737919	323.891188	167.451701	174.182077	115.747289	238.778843	267.669708	316.848913	295.941391	316.155549	289.717368	188.673257	138.564488	129.416994	MZ	MZ_decreasing
