Ensembl_Gene_ID	FPKM_(+)4SUTP_512cell_rep1	FPKM_(+)4SUTP_256cell_rep1	FPKM_(+)4SUTP_128cell_rep1	FPKM_(+)4SUTP_512cell_rep2	FPKM_(+)4SUTP_256cell_rep2	FPKM_(+)4SUTP_128cell_rep2	FPKM_(-)4SUTP_128cell	FPKM_(-)4SUTP_256cell	FPKM_(-)4SUTP_512cell
ENSDARG00000058522	1.43028	0.784278	1.93236	0.757463	1.19143	1.38618	1.31984	0.670888	0.377498
ENSDARG00000058528	1.91339	2.58027	1.4179	0.463034	1.19388	1.44863	2.01419	1.09328	0.739152
ENSDARG00000058533	0.855524	1.28548	1.16922	0.836524	1.36825	1.18614	1.14503	0.65588	0.441083
ENSDARG00000058560	5.31651	4.46749	4.04908	1.85345	3.55914	3.20944	4.99061	4.00104	2.54042
ENSDARG00000058561	0.94653	1.36902	1.38373	0.72794	0.854666	1.16385	1.09053	0.407007	0.245679
ENSDARG00000058562	1.31272	0.937964	2.32321	0.86904	1.23916	1.28795	1.46011	0.51897	0.420186
ENSDARG00000058563	0.865418	1.19447	0.416256	0.717629	0.677025	0.424895	1.05903	0.260943	0.322892
ENSDARG00000058571	1.13598	1.20662	1.11821	0.300601	1.02925	0.415563	1.6584	0.633027	1.06869
ENSDARG00000058578	1.70791	2.53983	2.21117	1.36058	1.13	1.36185	1.44215	0.678622	0.287851
ENSDARG00000058605	2.06219	1.79691	1.96458	1.42115	2.02738	2.37597	3.9546	2.66955	0.897004
ENSDARG00000058608	0.227291	0.860681	0.353312	0.152526	0.410447	0.42498	1.48113	0.250803	0.237128
ENSDARG00000058630	8.60087	10.2451	7.74783	3.8092	3.41171	3.81756	6.22395	3.54425	2.29296
ENSDARG00000058660	17.8475	28.1383	21.5248	3.51359	7.35502	6.82841	11.8041	7.44138	4.59568
ENSDARG00000058676	39.2551	50.9744	43.0155	15.4989	21.2109	25.1054	49.0517	35.9032	28.0367
ENSDARG00000058679	3.35313	3.85877	4.07884	1.32339	1.05849	0.872301	2.97623	1.03422	0.900918
ENSDARG00000058688	2.97955	3.00752	2.53353	1.22503	1.45908	1.22888	3.21388	1.16837	1.22948
ENSDARG00000058690	3.5151	3.74854	3.20974	1.8853	1.81439	2.37537	3.98152	1.97661	1.14399
ENSDARG00000058692	0.347965	0.933783	0.516341	0.315091	0.176138	0.317521	0.529834	0.424767	0.367265
ENSDARG00000058693	12.6804	23.1739	14.8749	5.75907	7.71387	7.49384	18.3478	11.3793	5.11149
ENSDARG00000058710	3.82841	3.55817	2.064	2.14624	1.15323	2.30549	1.7328	0.63704	0.531791
ENSDARG00000058716	13.8993	16.7014	14.013	3.69638	5.16035	5.21431	7.73735	3.7361	2.95016
ENSDARG00000058719	3.36491	3.88856	2.91982	2.6812	2.39967	3.64419	6.50364	3.21413	2.85238
ENSDARG00000058729	16.604	18.448	16.3735	6.18162	8.6882	7.6746	9.15586	6.11077	6.15101
ENSDARG00000058734	9.15374	6.55353	4.9381	1.57647	0.493188	2.79603	4.35832	1.33797	1.13495
ENSDARG00000058740	0.88292	1.43889	0.801931	0.827763	0.304483	0.542582	1.03677	1.349	0.263752
ENSDARG00000058746	9.75813	12.0936	8.7639	3.00329	3.83391	3.57695	8.61005	4.67059	3.8894
ENSDARG00000058771	0.262968	0.45716	0.486821	0.0736483	0.293877	0.472435	2.47859	1.65508	0.534328
ENSDARG00000058780	0.274281	0.35914	0.882581	0.239041	0.147708	0.265035	0.464915	0.253617	0.177422
ENSDARG00000058801	2.931	5.80682	5.03335	5.37595	4.03313	8.91346	3.59862	1.55654	1.48347
ENSDARG00000058804	2.28086	1.45804	2.89556	1.04673	0.863034	0.54822	6.20012	2.95894	2.29809
ENSDARG00000058818	5.42772	7.76908	5.2178	1.349	1.58697	1.20195	4.07185	2.95116	1.69759
ENSDARG00000058819	2.49252	0.398682	0.0502708	0.636143	0.0540586	0.0550819	0	0	0
ENSDARG00000058820	2.05451	2.65456	2.26533	0.755672	0.550978	1.3957	2.42991	0.472306	0.619276
ENSDARG00000058821	0.298377	0.501571	0.200316	0.0720211	0.290503	0.380562	0.684507	0.364683	0.201843
ENSDARG00000058828	0.817388	1.63906	0.584416	0.216422	0.279333	0.137517	0.849655	0.658931	0.157988
ENSDARG00000058830	0.388271	0.209948	0.192119	0.190496	0.259165	0.153494	0.268609	0.137197	0.0849196
ENSDARG00000058831	4.68869	2.01301	1.37751	1.89358	1.95238	0.726067	0.840411	0.292782	0.0708524
ENSDARG00000058842	8.36591	11.2917	9.9985	4.23339	4.73518	6.16962	10.2917	4.86177	3.6036
ENSDARG00000058853	0.264814	0.25672	0.429447	0.0594317	0.0825826	0.16666	0.370574	0.246414	0.264663
ENSDARG00000058857	3.3117	1.04522	0.920434	0.708699	0.300394	0.625555	0.96574	0.273199	0.319252
ENSDARG00000058861	7.931	11.0319	7.80393	1.38991	1.21309	1.31373	2.09429	1.70718	1.3757
ENSDARG00000058863	0.868982	1.02098	0.490563	0.38112	0.554063	0.247134	1.08955	0.405818	0.536978
ENSDARG00000058868	7.56777	10.2254	8.3061	4.64448	5.85291	5.99095	10.8871	6.0904	3.72315
ENSDARG00000058874	1.36283	1.49504	1.5589	0.15285	0.143635	0.289091	0.63988	0.259001	0
ENSDARG00000058917	25.5264	2.73247	0	11.1822	0.82115	0	0	0	0
ENSDARG00000058939	3.111	2.95274	2.26469	1.49012	1.27049	1.94573	2.21655	0.935603	0.577447
ENSDARG00000058943	0.66505	0.384445	0.444195	0.621194	0.430139	0.983108	0.481692	0.244577	0.164549
ENSDARG00000058946	1.1173	3.81013	2.02551	0.523884	1.26383	1.46615	3.10726	0.829733	0.256376
ENSDARG00000058949	1.27565	1.37029	1.38313	1.10396	1.39596	1.16141	2.94304	1.48343	1.07814
