Ensembl Gene ID,Gene name,FPKM 512-cell,FPKM 256-cell, FPKM 128-cell,fold-change,lfc_512_128,lfc_256_128,512_4fold,256_4fold,256_2fold
ENSDARG00000074848,C11H19orf42,12.77,3.09,0.23,3.48,3.48,1.73,1,0,1
ENSDARG00000051775,HIST2H2AB (16 of 22),12.73,7.96,1.51,2.45,2.45,1.84,1,0,1
ENSDARG00000077631,si:ch73-353p21.5,12.71,2.62,1.02,2.76,2.76,0.84,1,0,0
ENSDARG00000095681,si:dkeyp-100a5.3,12.65,2.87,0.23,3.48,3.47,1.65,1,0,1
ENSDARG00000051718,CR354435.1,12.65,2.13,0.94,2.81,2.81,0.69,1,0,0
ENSDARG00000059073,gsc,12.6,2.28,0.18,3.53,3.53,1.47,1,0,1
ENSDARG00000039515,atf4b1,12.46,3.19,0.11,3.59,3.60,1.92,1,0,1
ENSDARG00000054540,imp4,12.42,4.42,1.19,2.62,2.62,1.31,1,0,1
ENSDARG00000041430,bmp2b,12.35,1.21,0.08,3.63,3.63,1.03,1,0,1
ENSDARG00000059327,gata2a,12.32,1.67,0.11,3.59,3.58,1.27,1,0,1
ENSDARG00000077811,sox11a,12.29,0.66,0.02,3.7,3.70,0.70,1,0,0
ENSDARG00000045444,fzd8a,12.27,2.29,0.05,3.66,3.66,1.65,1,0,1
ENSDARG00000041232,rps29,12.21,6.63,2.06,2.11,2.11,1.32,1,0,1
ENSDARG00000034457,C8H1orf194,12.15,1.74,0.35,3.28,3.28,1.02,1,0,1
ENSDARG00000003681,eif5,12.12,3.66,1.85,2.2,2.20,0.71,1,0,0
ENSDARG00000091011,zgc:154164,12.04,3.74,0.27,3.37,3.36,1.90,1,0,1
ENSDARG00000078301,C22H6orf89,12.03,4.04,1.09,2.64,2.64,1.27,1,0,1
ENSDARG00000030408,rps26l,12,5.05,1.72,2.26,2.26,1.15,1,0,1
ENSDARG00000093946,si:ch211-13c6.3,11.94,6.53,2.15,2.04,2.04,1.26,1,0,1
ENSDARG00000091032,POLDIP3,11.92,5.22,1.02,2.67,2.68,1.62,1,0,1
ENSDARG00000036175,PCDH1 (1 of 2),11.88,1.96,0.18,3.45,3.45,1.33,1,0,1
ENSDARG00000041538,MRPS28,11.87,3.24,1.33,2.47,2.47,0.86,1,0,0
ENSDARG00000055043,depdc7,11.78,0.96,0.06,3.59,3.59,0.89,1,0,0
ENSDARG00000033143,SUPT4H1,11.75,3.26,1.48,2.36,2.36,0.78,1,0,0
ENSDARG00000087917,BX649341.1,11.63,1.45,0.02,3.63,3.63,1.26,1,0,1
ENSDARG00000019362,ptbp1a,11.53,1.34,0.16,3.43,3.43,1.01,1,0,1
ENSDARG00000094843,si:dkey-228i19.32,11.51,1.71,0.07,3.54,3.55,1.34,1,0,1
ENSDARG00000095181,si:ch73-299h12.1,11.5,1.95,0.05,3.58,3.57,1.49,1,0,1
ENSDARG00000077721,C1H16orf88,11.49,4.95,1.53,2.3,2.30,1.23,1,0,1
ENSDARG00000089842,CR339044.2,11.45,1.95,0.02,3.61,3.61,1.53,1,0,1
ENSDARG00000070434,rhov,11.38,1.57,0.31,3.24,3.24,0.97,1,0,0
ENSDARG00000055381,bambia,11.21,2.23,0.65,2.89,2.89,0.97,1,0,0
