PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57	PC58	PC59	PC60	PC61	PC62	PC63	PC64	PC65	PC66
dome_k4me3_center_1	0.105	-0.104	0.162	0.002	0.189	-0.063	-0.166	0.211	0.06	0.102	-0.008	-0.025	0.046	0.18	0.145	0.262	-0.113	-0.184	0.364	-0.071	0.241	-0.042	0.115	0.124	-0.08	-0.036	-0.048	-0.019	-0.147	-0.064	-0.07	-0.011	-0.12	0.038	-0.2	-0.084	-0.056	0.026	0.043	0.147	-0.019	-0.075	0.046	-0.208	0.144	0.178	-0.115	0.183	0.215	0.034	0.049	0.069	0.035	-0.022	0.105	-0.043	-0.043	-0.148	0.012	0.176	0.124	0.063	-0.047	0.041	0.004	0.003
dome_k4me3_center_2	0.069	-0.064	0.134	-0.004	0.255	-0.057	-0.359	0.305	0.113	0.177	0.021	0.005	0.128	-0.204	-0.163	-0.252	0.029	0.207	-0.269	0.059	-0.219	0.091	-0.123	-0.157	-0.018	0.001	0.056	-0.085	-0.088	-0.086	-0.061	0.021	-0.141	0.078	-0.299	-0.245	-0.071	-0.031	-0.015	0.101	0.008	-0.069	0.089	-0.029	0.084	-0.028	-0.054	-0.041	-0.048	-0.11	0.01	0.011	-0.018	0.006	-0.034	0.006	-0.004	0.092	-0.007	-0.045	-0.028	-0.014	0.008	-0.001	0.004	0.006
dome_k4me3_down_1	0.133	-0.217	0.197	-0.083	-0.044	-0.001	-0.104	0.13	0.027	0.056	-0.024	0.002	-0.001	0.121	0.167	0.053	-0.026	-0.078	0.141	-0.065	-0.073	0.037	-0.005	0.028	-0.157	0.009	-0.008	-0.023	-0.005	-0.009	0.012	-0.021	0.064	-0.067	0.158	0.113	0.039	-0.026	-0.007	-0.051	0.013	0.042	-0.053	-0.026	-0.02	0.098	-0.032	0.067	0.082	-0.068	0.023	0.022	-0.036	0.031	-0.049	0.029	-0.035	0.428	-0.069	-0.516	-0.372	-0.198	0.127	-0.066	-0.051	0.013
dome_k4me3_down_2	0.111	-0.182	0.193	-0.084	-0.01	0.009	-0.202	0.179	0.048	0.078	-0.012	0.015	0.001	0.032	0.157	-0.105	-0.011	0.018	0.02	-0.055	-0.254	0.14	-0.083	-0.043	-0.293	0.037	0.011	-0.087	-0.069	-0.025	0.004	0.016	0.084	-0.069	0.251	0.154	0.08	-0.061	-0.05	-0.224	0.037	0.113	-0.122	0.291	-0.164	-0.032	0.146	-0.025	0.059	0.298	-0.049	-0.011	0.065	-0.025	0.111	-0.041	0.016	-0.293	0.025	0.205	0.141	0.071	-0.034	0.018	0.009	-0.017
dome_k9ac_up_1	0.171	0.005	0.063	0.153	-0.093	-0.038	0.067	-0.002	-0.015	0.008	0.003	-0.001	-0.008	0.025	0.047	0.023	-0.028	0.005	-0.003	0.015	-0.019	0.007	-0.047	-0.095	0.113	0.037	0.057	-0.098	0.119	0.055	0.063	0.011	-0.014	0.012	-0.059	0.053	-0.081	-0.173	-0.022	0.179	0.003	-0.005	-0.033	0.069	0.027	-0.084	0.018	-0.045	-0.046	0.004	0.075	0.062	0.094	-0.124	0.306	-0.023	-0.544	-0.023	0.485	-0.114	-0.002	0.089	0.003	-0.283	-0.036	-0.092
dome_k9ac_up_2	0.123	0.004	0.061	0.142	-0.131	-0.125	0.071	0.072	-0.045	0.045	-0.177	0.039	-0.185	0.146	-0.263	-0.05	0.033	-0.001	-0.066	0.016	0.089	-0.031	0.037	0.032	0.016	-0.07	0.05	-0.398	-0.219	0.069	-0.164	0.54	0.077	0.046	0.083	0.077	-0.012	0.025	-0.036	0.009	0.069	-0.071	0.241	-0.135	-0.259	-0.047	0.011	0.12	0.01	0.012	-0.018	-0.022	-0.009	0.023	-0.051	0.009	0.032	-0.019	-0.005	-0.013	-0.01	-0.009	-0.005	-0.005	0.003	0.006
dome_k9ac_center_1	0.148	0.042	0.051	-0.079	0.062	-0.146	0.083	0.03	-0.046	0.032	-0.001	-0.003	-0.021	0.074	0.122	0.058	-0.042	-0.003	0.032	-0.016	-0.068	0.032	-0.095	-0.194	0.205	0.12	0.136	-0.072	0.296	0.125	0.155	0.112	-0.011	0.068	-0.139	0.218	-0.159	-0.334	-0.079	0.328	0.07	0.184	-0.073	0.018	0.078	-0.102	-0.018	0.104	0.048	0.104	-0.029	-0.04	-0.045	0.046	-0.096	-0.008	0.254	-0.155	-0.142	-0.02	-0.01	-0.139	0.094	0.106	0.114	0.217
dome_k9ac_center_2	0.097	0.041	0.046	-0.062	-0.003	-0.273	0.086	0.112	-0.068	0.101	-0.259	0.058	-0.362	0.298	-0.475	-0.101	0.088	-0.042	-0.005	-0.036	-0.025	-0.003	0.049	0.087	-0.038	0.088	0.021	0.108	0.001	-0.033	0.036	-0.17	-0.043	0.063	-0.045	0.009	0.026	0.072	0.053	-0.091	-0.092	0.147	-0.254	0.15	0.346	0.045	-0.016	-0.081	0.018	0.006	0.008	0.019	0	-0.012	0.006	0.006	-0.023	0.019	-0.005	0.006	0.007	0.015	-0.007	0.002	-0.006	0.009
dome_k9ac_down_1	0.177	-0.081	0.052	-0.148	-0.123	0.002	0.035	-0.007	-0.017	0.015	0.008	-0.004	0.002	0.013	0.039	0.024	-0.018	0.002	-0.006	-0.008	-0.032	0.016	-0.043	-0.076	0.067	0.045	0.029	0.006	0.11	0.02	0.052	0.062	-0.003	0.003	-0.009	0.069	-0.047	-0.077	-0.037	0.109	0.026	0.034	0.039	0.016	0.05	0.02	-0.036	-0.002	0.036	-0.017	-0.011	0.022	-0.022	0.081	-0.167	0.041	0.053	0.274	-0.156	0.199	0.031	0.335	-0.287	0.014	-0.329	-0.602
dome_k9ac_down_2	0.135	-0.069	0.063	-0.138	-0.162	-0.072	0.038	0.059	-0.056	0.052	-0.114	0.021	-0.132	0.08	-0.166	-0.042	0.012	-0.014	0.007	-0.024	-0.053	0.029	0.017	0	-0.034	0.04	-0.047	0.303	0.14	-0.102	0.077	-0.404	-0.042	-0.124	-0.037	-0.117	-0.041	-0.112	-0.042	0.083	0.096	-0.232	0.317	-0.2	-0.467	-0.128	0.044	0.165	-0.056	0.065	0.015	-0.008	0.003	-0.006	0.03	0.002	0.015	-0.112	-0.011	-0.015	-0.024	-0.015	0	0.006	0.001	0.008
dome_k27ac_up_1	0.136	0.068	0.055	0.167	-0.033	0.063	0.119	-0.028	-0.018	-0.005	0.2	-0.03	0.086	0.225	-0.02	-0.003	-0.058	0.137	-0.101	0.066	-0.055	-0.01	0.001	0.079	-0.136	-0.073	-0.014	-0.226	0.041	0.033	0.037	-0.259	0.082	-0.131	-0.031	-0.045	0.012	0.295	-0.347	0.195	0.122	0.106	0.23	0.206	0.174	0.289	0.098	0.245	-0.159	-0.015	-0.08	-0.121	-0.035	0.014	-0.029	0.002	0.065	-0.035	0.018	-0.004	0.019	-0.018	0.013	-0.032	-0.003	0.002
